location,date,time,precipitation(mm),air_pressure(hPa),temperature(˚C),humidity(%),wind(m/s)
Chicago ,2022-01-07,1:00:00 PM,0,1017.7,-1.9,53,3
Chicago ,2022-01-07,2:00:00 PM,0,1017.5,-2.2,55.1,2
Chicago ,2022-01-07,3:00:00 PM,0,1017.2,-2.8,54.9,1
Chicago ,2022-01-07,4:00:00 PM,0,1016.8,-3.1,54,2
Chicago ,2022-01-07,5:00:00 PM,0,1016.8,-3.3,53,0
Chicago ,2022-01-07,6:00:00 PM,0,1017,-3.6,54.2,0
Chicago ,2022-01-07,7:00:00 PM,0,1016.4,-3.9,55,4
Chicago ,2022-01-07,8:00:00 PM,0,1015.8,-4.3,56.3,4
Chicago ,2022-01-07,9:00:00 PM,0,1015.7,-4.7,58.9,5
Chicago ,2022-01-07,10:00:00 PM,0,1015.5,-4.9,60.3,4
Chicago ,2022-01-07,11:00:00 PM,0,1015.6,-4.9,61.3,4
Chicago ,2022-01-08,12:00:00 AM,0,1015.4,-4,60.1,4
Chicago ,2022-01-08,1:00:00 AM,0,1015.5,-2.4,58.1,4
Chicago ,2022-01-08,2:00:00 AM,0,1014.8,-0.8,52.9,4
Chicago ,2022-01-08,3:00:00 AM,0,1013.9,0.6,50.1,2
Chicago ,2022-01-08,4:00:00 AM,0,1012.9,2.3,52.2,2
Chicago ,2022-01-08,5:00:00 AM,0,1012.1,3.1,53.2,1
Chicago ,2022-01-08,6:00:00 AM,0,1012,3.2,65.2,3
Chicago ,2022-01-08,7:00:00 AM,0,1011.8,3.5,72.3,5
Chicago ,2022-01-08,8:00:00 AM,0,1011.6,3.7,71.3,5
Chicago ,2022-01-08,9:00:00 AM,0,1011.8,3.6,72.4,4
Chicago ,2022-01-08,10:00:00 AM,0,1011.9,3.6,74,4
Chicago ,2022-01-08,11:00:00 AM,0,1011.9,3.3,76.1,3
Chicago ,2022-01-08,12:00:00 PM,0,1011.7,3.4,77.2,3
Chicago ,2022-01-08,1:00:00 PM,0,1011.5,3.4,78.4,2
Chicago ,2022-01-08,2:00:00 PM,0,1011.2,3.5,77.8,4
Chicago ,2022-01-08,3:00:00 PM,0,1010.8,3.7,76.7,3
Chicago ,2022-01-08,4:00:00 PM,0,1010.5,3.7,79.6,4
Chicago ,2022-01-08,5:00:00 PM,0,1010.6,3.3,81.8,4
Chicago ,2022-01-08,6:00:00 PM,0,1010.9,2.5,82.9,3
Chicago ,2022-01-08,7:00:00 PM,0,1010.9,1.4,85.3,4
Chicago ,2022-01-08,8:00:00 PM,0,1011,0.5,86.4,5
Chicago ,2022-01-08,9:00:00 PM,0,1011.2,-0.1,88.3,5
Chicago ,2022-01-08,10:00:00 PM,0,1011.5,-0.9,88.2,3
Chicago ,2022-01-08,11:00:00 PM,0,1011.9,-0.6,90.2,4
Chicago ,2022-01-09,12:00:00 AM,0,1012.1,-0.6,88.2,2
Chicago ,2022-01-09,1:00:00 AM,0,1012.4,-0.3,89.6,3
Chicago ,2022-01-09,2:00:00 AM,0,1012.6,1,85.2,2
Chicago ,2022-01-09,3:00:00 AM,0,1012.2,2.2,75.4,4
Chicago ,2022-01-09,4:00:00 AM,0,1011.4,3.3,66.2,2
Chicago ,2022-01-09,5:00:00 AM,0,1011,4.9,58.3,3
Chicago ,2022-01-09,6:00:00 AM,0,1011,5.4,52.2,3
Chicago ,2022-01-09,7:00:00 AM,0,1011,5.3,47,3
Chicago ,2022-01-09,8:00:00 AM,0,1011.1,3.8,50.2,4
Chicago ,2022-01-09,9:00:00 AM,0,1011.5,2.2,52.9,2
Chicago ,2022-01-09,10:00:00 AM,0,1012,1.4,56.9,3
Chicago ,2022-01-09,11:00:00 AM,0,1012.3,0.8,61.3,3
Chicago ,2022-01-09,12:00:00 PM,0,1012.5,0.1,62.1,3
Chicago ,2022-01-09,1:00:00 PM,0,1012.4,-0.3,66.4,2
Chicago ,2022-01-09,2:00:00 PM,0,1012.2,-0.8,68.3,2
Chicago ,2022-01-09,3:00:00 PM,0,1012.3,-1.2,71.4,3
Chicago ,2022-01-09,4:00:00 PM,0,1012.1,-1.6,73,2
Chicago ,2022-01-09,5:00:00 PM,0,1012,-1.8,75.2,3
Chicago ,2022-01-09,6:00:00 PM,0,1012.5,-1.9,76.4,2
Chicago ,2022-01-09,7:00:00 PM,0,1012.5,-2.1,77.5,2
Chicago ,2022-01-09,8:00:00 PM,0,1011.9,-2.7,80.4,4
Chicago ,2022-01-09,9:00:00 PM,0,1012,-3.1,81,4
Chicago ,2022-01-09,10:00:00 PM,0,1012.3,-3.3,82.2,4
Chicago ,2022-01-09,11:00:00 PM,0,1012,-3.3,84.1,4
Chicago ,2022-01-10,12:00:00 AM,0,1012.4,-3,83.5,3
Chicago ,2022-01-10,1:00:00 AM,0,1012.5,-1,78.3,3
Chicago ,2022-01-10,2:00:00 AM,0,1011.7,1.5,69.3,4
Chicago ,2022-01-10,3:00:00 AM,0,1010.5,3.7,60.2,2
Chicago ,2022-01-10,4:00:00 AM,0,1009.7,4.2,53.1,5
Chicago ,2022-01-10,5:00:00 AM,0,1009.1,4.4,43.9,4
Chicago ,2022-01-10,6:00:00 AM,0,1008.9,4,39.9,5
Chicago ,2022-01-10,7:00:00 AM,0,1008.8,3.5,46.1,4
Chicago ,2022-01-10,8:00:00 AM,0,1008.3,3,53.2,5
Chicago ,2022-01-10,9:00:00 AM,0,1008.1,2.4,55.9,4
Chicago ,2022-01-10,10:00:00 AM,0,1008.5,2,54.9,4
Chicago ,2022-01-10,11:00:00 AM,0,1007.8,1.8,52,5
Chicago ,2022-01-10,12:00:00 PM,0,1007.3,1.4,58.2,4
Chicago ,2022-01-10,1:00:00 PM,0,1007.1,1,66.2,4
Chicago ,2022-01-10,2:00:00 PM,0,1006.8,0.3,82,4
Chicago ,2022-01-10,3:00:00 PM,0,1006.2,0.3,92.3,5
Chicago ,2022-01-10,4:00:00 PM,0,1006.4,-1.2,83.1,9
Chicago ,2022-01-10,5:00:00 PM,0,1006.4,-2.7,72.2,9
Chicago ,2022-01-10,6:00:00 PM,0,1006.7,-4.3,71.4,9
Chicago ,2022-01-10,7:00:00 PM,0,1006.5,-5.9,66.1,11
Chicago ,2022-01-10,8:00:00 PM,0,1006.5,-7.1,67.4,9
Chicago ,2022-01-10,9:00:00 PM,0,1007.3,-7.9,66.2,9
Chicago ,2022-01-10,10:00:00 PM,0,1008.2,-8.7,62.3,7
Chicago ,2022-01-10,11:00:00 PM,0,1008.5,-9.3,62.2,8
Chicago ,2022-01-11,12:00:00 AM,1,1009.2,-9.3,61.1,6
Chicago ,2022-01-11,1:00:00 AM,0,1010,-8.5,54.2,7
Chicago ,2022-01-11,2:00:00 AM,0,1010.1,-7.6,50.1,8
Chicago ,2022-01-11,3:00:00 AM,0,1009.9,-7,48.2,11
Chicago ,2022-01-11,4:00:00 AM,0,1009.3,-5.9,47,9
Chicago ,2022-01-11,5:00:00 AM,0,1009.3,-5.4,44.1,9
Chicago ,2022-01-11,6:00:00 AM,0,1009.1,-4.9,40.1,8
Chicago ,2022-01-11,7:00:00 AM,0,1009.8,-4.8,39.1,7
Chicago ,2022-01-11,8:00:00 AM,0,1010.4,-5.5,41.9,6
Chicago ,2022-01-11,9:00:00 AM,0,1011.4,-6.7,47.1,7
Chicago ,2022-01-11,10:00:00 AM,0,1012.4,-7.5,49.3,6
Chicago ,2022-01-11,11:00:00 AM,0,1013.1,-8.3,52,6
Chicago ,2022-01-11,12:00:00 PM,0,1013.5,-9,54,6
Chicago ,2022-01-11,1:00:00 PM,0,1013.9,-9.6,56.2,5
Chicago ,2022-01-11,2:00:00 PM,0,1013.8,-10,56.1,6
Chicago ,2022-01-11,3:00:00 PM,0,1013.7,-10.2,57,5
Chicago ,2022-01-11,4:00:00 PM,0,1013.5,-10.7,57.3,3
Chicago ,2022-01-11,5:00:00 PM,0,1013.4,-11,61.2,1
Chicago ,2022-01-11,6:00:00 PM,0,1013.6,-11.3,63.2,2
Chicago ,2022-01-11,7:00:00 PM,0,1013.3,-11.3,63.2,3
Chicago ,2022-01-11,8:00:00 PM,0,1012.9,-11.1,59.2,4
Chicago ,2022-01-11,9:00:00 PM,0,1013,-11,58.2,5
Chicago ,2022-01-11,10:00:00 PM,0,1012.9,-11.2,59.1,3
Chicago ,2022-01-11,11:00:00 PM,0,1013.2,-11.2,59.1,3
Chicago ,2022-01-12,12:00:00 AM,0,1013.4,-10.2,54.2,6
Chicago ,2022-01-12,1:00:00 AM,0,1013.4,-8.8,48.1,6
Chicago ,2022-01-12,2:00:00 AM,0,1013.1,-7.3,46.2,5
Chicago ,2022-01-12,3:00:00 AM,0,1012.2,-6.6,42,6
Chicago ,2022-01-12,4:00:00 AM,0,1011.4,-5.5,41.9,6
Chicago ,2022-01-12,5:00:00 AM,0,1011,-3.9,35.9,7
Chicago ,2022-01-12,6:00:00 AM,0,1010.8,-4.1,35,6
Chicago ,2022-01-12,7:00:00 AM,0,1010.9,-4,35,7
Chicago ,2022-01-12,8:00:00 AM,0,1010.9,-4.6,39.2,4
Chicago ,2022-01-12,9:00:00 AM,0,1011.2,-5.1,41,6
Chicago ,2022-01-12,10:00:00 AM,0,1011.8,-5.5,47.1,6
Chicago ,2022-01-12,11:00:00 AM,0,1011.4,-5.8,44,6
Chicago ,2022-01-12,12:00:00 PM,0,1011.2,-5.9,43.2,5
Chicago ,2022-01-12,1:00:00 PM,0,1010.9,-6.1,43.9,5
Chicago ,2022-01-12,2:00:00 PM,0,1010.7,-6.5,46,4
Chicago ,2022-01-12,3:00:00 PM,0,1010.3,-7.1,46.2,4
Chicago ,2022-01-12,4:00:00 PM,0,1009.9,-7.2,46.2,2
Chicago ,2022-01-12,5:00:00 PM,0,1009.5,-7.3,46.2,1
Chicago ,2022-01-12,6:00:00 PM,0,1009.3,-7,44,3
Chicago ,2022-01-12,7:00:00 PM,0,1008.5,-7.2,43.9,3
Chicago ,2022-01-12,8:00:00 PM,0,1008.3,-7.4,48.1,3
Chicago ,2022-01-12,9:00:00 PM,0,1008.6,-7.2,51.9,2
Chicago ,2022-01-12,10:00:00 PM,0,1009.3,-6.9,53.3,5
Chicago ,2022-01-12,11:00:00 PM,0,1009.7,-7.2,51.9,8
Chicago ,2022-01-13,12:00:00 AM,0,1010.4,-6.9,49.1,7
Chicago ,2022-01-13,6:00:00 AM,0,1009.8,-3.3,33,8
Chicago ,2022-01-13,9:00:00 AM,0,1011.9,-6.1,45,9
Chicago ,2022-01-14,12:00:00 AM,0,1016.3,-9.1,53.1,4
Chicago ,2022-01-14,1:00:00 AM,0,1016.7,-7.2,45.1,3
Chicago ,2022-01-14,2:00:00 AM,0,1016.9,-4.1,39,3
Chicago ,2022-01-14,3:00:00 AM,0,1015.7,-2.3,33,3
Chicago ,2022-01-14,4:00:00 AM,0,1015.1,-0.1,31,4
Chicago ,2022-01-14,5:00:00 AM,0,1014.6,0.3,28.9,6
Chicago ,2022-01-14,6:00:00 AM,0,1014.2,0.5,26,5
Chicago ,2022-01-14,7:00:00 AM,0,1013.5,1.2,26,3
Chicago ,2022-01-14,8:00:00 AM,0,1013.5,0.1,28.1,4
Chicago ,2022-01-14,9:00:00 AM,0,1013.2,-1.5,31.1,3
Chicago ,2022-01-14,10:00:00 AM,0,1014,-2.7,33.1,3
Chicago ,2022-01-14,11:00:00 AM,0,1014.2,-3.1,38,4
Chicago ,2022-01-14,12:00:00 PM,0,1014.4,-3.1,42,5
Chicago ,2022-01-14,1:00:00 PM,0,1014.7,-3.5,41.2,4
Chicago ,2022-01-14,2:00:00 PM,0,1014.9,-3.9,42.1,3
Chicago ,2022-01-14,3:00:00 PM,0,1014.8,-3.9,43.1,1
Chicago ,2022-01-14,4:00:00 PM,0,1014.3,-4.2,46,3
Chicago ,2022-01-14,5:00:00 PM,0,1014.1,-4.5,47,4
Chicago ,2022-01-14,6:00:00 PM,0,1014.1,-4.8,46.9,4
Chicago ,2022-01-14,7:00:00 PM,0,1013.6,-5.2,49.2,4
Chicago ,2022-01-14,8:00:00 PM,0,1013.1,-5.2,52.1,5
Chicago ,2022-01-14,9:00:00 PM,0,1013,-5,54.3,4
Chicago ,2022-01-14,10:00:00 PM,0,1012.9,-4.6,53.1,5
Chicago ,2022-01-14,11:00:00 PM,0,1013,-4.4,48.2,5
Chicago ,2022-01-15,12:00:00 AM,0,1013,-3.8,46.1,4
Chicago ,2022-01-15,1:00:00 AM,0,1013.1,-2.3,44,4
Chicago ,2022-01-15,2:00:00 AM,0,1012.8,-0.7,43.1,6
Chicago ,2022-01-15,3:00:00 AM,0,1012.2,0.4,41.1,4
Chicago ,2022-01-15,4:00:00 AM,0,1011.6,0.7,43.2,3
Chicago ,2022-01-15,5:00:00 AM,0,1011,0.9,43.2,4
Chicago ,2022-01-15,6:00:00 AM,0,1010.5,1.3,43,4
Chicago ,2022-01-15,7:00:00 AM,0,1010.4,1.8,43.2,4
Chicago ,2022-01-15,8:00:00 AM,0,1010.7,1.6,44.1,3
Chicago ,2022-01-15,9:00:00 AM,0,1010.7,1.4,48,3
Chicago ,2022-01-15,10:00:00 AM,0,1010.8,1.3,49.1,5
Chicago ,2022-01-15,11:00:00 AM,0,1010.7,1.3,51.1,3
Chicago ,2022-01-15,12:00:00 PM,0,1011,1.3,51.1,2
Chicago ,2022-01-15,1:00:00 PM,0,1010.9,1.4,53.1,2
Chicago ,2022-01-15,2:00:00 PM,0,1010.7,1.3,53.1,1
Chicago ,2022-01-15,3:00:00 PM,0,1010.5,1.3,56,3
Chicago ,2022-01-15,4:00:00 PM,0,1011.1,1.5,68.3,3
Chicago ,2022-01-15,5:00:00 PM,0,1010.5,2.3,73.2,4
Chicago ,2022-01-15,6:00:00 PM,0,1010.6,2.4,74.3,4
Chicago ,2022-01-15,7:00:00 PM,0,1010.5,2.4,78.2,5
Chicago ,2022-01-15,8:00:00 PM,0,1010.7,1.5,79.2,7
Chicago ,2022-01-15,9:00:00 PM,0,1011.3,0.1,76.1,8
Chicago ,2022-01-15,10:00:00 PM,0,1012.1,-1,78.3,6
Chicago ,2022-01-15,11:00:00 PM,0,1012.9,-2.5,75.1,7
Chicago ,2022-01-16,12:00:00 AM,0,1013.6,-3.4,70.4,9
Chicago ,2022-01-16,1:00:00 AM,0,1014.5,-3.1,61.3,8
Chicago ,2022-01-16,2:00:00 AM,0,1015.2,-3.1,53.1,9
Chicago ,2022-01-16,3:00:00 AM,0,1014.9,-1.5,46.1,8
Chicago ,2022-01-16,4:00:00 AM,0,1014.5,-0.4,35,7
Chicago ,2022-01-16,5:00:00 AM,0,1014.7,0.1,31.1,8
Chicago ,2022-01-16,6:00:00 AM,0,1014.4,0.5,36.1,8
Chicago ,2022-01-16,7:00:00 AM,0,1014.6,-0.1,38,8
Chicago ,2022-01-16,8:00:00 AM,0,1014.6,-1.1,39,7
Chicago ,2022-01-16,9:00:00 AM,0,1015.1,-2.4,42.9,5
Chicago ,2022-01-16,10:00:00 AM,0,1015.6,-3.1,41,6
Chicago ,2022-01-16,11:00:00 AM,0,1016.1,-3.9,33,6
Chicago ,2022-01-16,12:00:00 PM,0,1016.3,-4.4,36.1,6
Chicago ,2022-01-16,1:00:00 PM,0,1017.1,-5.3,42,8
Chicago ,2022-01-16,2:00:00 PM,0,1017.1,-6.4,50,7
Chicago ,2022-01-16,3:00:00 PM,0,1017.3,-7.2,55,5
Chicago ,2022-01-16,4:00:00 PM,0,1017.5,-7.9,58.1,4
Chicago ,2022-01-16,5:00:00 PM,0,1017.2,-8.6,59.3,2
Chicago ,2022-01-16,6:00:00 PM,0,1017.4,-8.5,59.4,3
Chicago ,2022-01-16,7:00:00 PM,0,1017.2,-8.9,60.2,3
Chicago ,2022-01-16,8:00:00 PM,0,1016.9,-9.1,60.2,2
Chicago ,2022-01-16,9:00:00 PM,0,1016.5,-9.1,60.2,2
Chicago ,2022-01-16,10:00:00 PM,0,1016.8,-9.2,59.2,3
Chicago ,2022-01-16,11:00:00 PM,0,1017.2,-8.6,60.3,1
Chicago ,2022-01-17,12:00:00 AM,0,1017.3,-7.9,57.1,3
Chicago ,2022-01-17,1:00:00 AM,0,1018.1,-5.4,51.2,4
Chicago ,2022-01-17,2:00:00 AM,0,1017.4,-3.3,43,5
Chicago ,2022-01-17,3:00:00 AM,0,1016.2,-1.7,38.2,5
Chicago ,2022-01-17,4:00:00 AM,0,1014.7,-0.2,42.2,4
Chicago ,2022-01-17,5:00:00 AM,0,1014.4,-1,54.1,7
Chicago ,2022-01-17,6:00:00 AM,0,1014.5,-2.2,75.1,8
Chicago ,2022-01-17,7:00:00 AM,0,1014,-2.2,76.3,6
Chicago ,2022-01-17,8:00:00 AM,0,1014.1,-2.5,78,7
Chicago ,2022-01-17,9:00:00 AM,0,1014.7,-3.3,83.4,7
Chicago ,2022-01-17,10:00:00 AM,0,1015.9,-4.1,67.1,7
Chicago ,2022-01-17,11:00:00 AM,0,1017.1,-5.2,52.9,7
Chicago ,2022-01-17,12:00:00 PM,1,1017.7,-5.8,51.1,6
Chicago ,2022-01-17,1:00:00 PM,0,1018.2,-6.5,52.1,5
Chicago ,2022-01-17,2:00:00 PM,0,1018.2,-7.2,53.2,3
